MLR_No,ML_Lic_No,Period,Name_Eng,Name_Chi,Expiry_Date,Remarks
5625,1890/2019,As at 29 February 2020,Leading Credit Limited,晉領財務有限公司,23-Jan-21,
5191,1889/2019,As at 29 February 2020,Swiss Finance Limited,瑞士信貸有限公司,09-Oct-20,
4945,1888/2019,As at 29 February 2020,Long Boom Capital Holding (HK) Limited,長興資本控股(香港)有限公司,19-Dec-20,
4908,1887/2019,As at 29 February 2020,Sagarmatha Finance Company Limited,,09-Nov-20,
4903,1886/2019,As at 29 February 2020,Polymay Finance Limited,寶美金融有限公司,02-Nov-20,
4878,1885/2019,As at 29 February 2020,Maximum Success Finance Limited,至成財務有限公司,03-Oct-20,
4645,1884/2019,As at 29 February 2020,iFREE GROUP Finance Limited,愛訊集團財務有限公司,15-Dec-20,
4629,1883/2019,As at 29 February 2020,"CRRC Hongkong Capital Management Co., Limited",中國中車香港資本管理有限公司,22-Nov-20,
4615,1882/2019,As at 29 February 2020,Chun Link Hong Kong Limited,駿嶺香港有限公司,03-Nov-20,
3947,1881/2019,As at 29 February 2020,Grand Diamond Investment Limited,君鑽投資有限公司,18-Dec-20,
3937,1880/2019,As at 29 February 2020,Hong Kong Desource Credit Limited,香港鼎基財務有限公司,11-Dec-20,
3575,1879/2019,As at 29 February 2020,Sino Wealth Finance Limited,華裕財務有限公司,22-Nov-20,
3180,1878/2019,As at 29 February 2020,New Power Finance Company Limited,新力融資有限公司,14-Dec-20,
3116,1877/2019,As at 29 February 2020,China Finance (Worldwide) Limited,中國財務(國際)有限公司,29-Dec-20,
3112,1876/2019,As at 29 February 2020,Help U Credit Finance Limited,幫人財務有限公司,10-Dec-20,
3040,1875/2019,As at 29 February 2020,Lucky Peso International Finance (HK) Limited,,02-Dec-20,
2928,1874/2019,As at 29 February 2020,Credit Gain Finance Company Limited,領達財務有限公司,14-Nov-20,
2664,1873/2019,As at 29 February 2020,Global Capital Finance Limited,全球財務有限公司,11-Dec-20,
2058,1872/2019,As at 29 February 2020,Fulcrum Capital (HK) Limited,富嘉資本(香港)有限公司,07-Nov-20,
1643,1871/2019,As at 29 February 2020,Po Kay Securities & Shares Company Limited,步基證券有限公司,22-Nov-20,
1297,1870/2019,As at 29 February 2020,Funderstone Finance Limited,,15-Oct-20,
1097,1869/2019,As at 29 February 2020,Sunford Finance (H.K.) Limited,新和財務(香港)有限公司,20-Oct-20,
955,1868/2019,As at 29 February 2020,Yue Xiu Finance Company Limited,越秀財務有限公司,06-Oct-20,
5229,1867/2019,As at 29 February 2020,Credit One Fintech Limited ,保信金融科技有限公司,15-Nov-20,
5632,1866/2019,As at 29 February 2020,Yunnan International Capital Limited,雲能國際資本有限公司,21-Jan-21,
5631,1865/2019,As at 29 February 2020,Rich Credit Limited,達必發信貸有限公司,21-Jan-21,
5267,1864/2019,As at 29 February 2020,Unique Credit Limited ,非凡信貸有限公司,18-Dec-20,
5223,1863/2019,As at 29 February 2020,Tier 1 Group Company Limited,天恩匯通有限公司,30-Oct-20,
4961,1862/2019,As at 29 February 2020,Chung Sun Finance Limited,中新財務有限公司,09-Jan-21,
4892,1861/2019,As at 29 February 2020,8M Limited,,17-Oct-20,
4880,1860/2019,As at 29 February 2020,Profit Star Finance Limited,利陞信貸有限公司,12-Oct-20,
4872,1859/2019,As at 29 February 2020,Richmond Credit Limited,皆旺信貸有限公司,10-Oct-20,
4642,1858/2019,As at 29 February 2020,Melody Finance Limited,金麗財務有限公司,29-Nov-20,
4630,1857/2019,As at 29 February 2020,All In One International Limited,華灝國際有限公司,15-Nov-20,
4552,1856/2019,As at 29 February 2020,Richson Finance Limited,富盛財務有限公司,03-Nov-20,
4538,1855/2019,As at 29 February 2020,Tianli Credit Limited,天利信貸有限公司,29-Nov-20,
4510,1854/2019,As at 29 February 2020,Neo Consumer Finance (Hong Kong) Limited,小牛普惠財務(香港)有限公司,31-Oct-20,
4331,1853/2019,As at 29 February 2020,MH Investment (H.K.) Limited,萬豪投資(香港)有限公司,13-Oct-20,
4319,1852/2019,As at 29 February 2020,Zhong Neng Finance Limited,中能財務有限公司,15-Dec-20,
4248,1851/2019,As at 29 February 2020,Ace Leader (HK) Limited,領皇(香港)有限公司,15-Oct-20,
3914,1850/2019,As at 29 February 2020,Gold Smart Finance Limited,金俊財務有限公司,20-Nov-20,
3437,1849/2019,As at 29 February 2020,"Fok Shing Asia Finance Co., Limited",福勝亞洲財務有限公司,01-Nov-20,
3221,1848/2019,As at 29 February 2020,"China Merchants Securities (HK) Co., Limited",招商證券(香港)有限公司,22-Oct-20,
3166,1847/2019,As at 29 February 2020,Johnny Finance Limited,尊迪奧財務有限公司,26-Oct-20,
2868,1846/2019,As at 29 February 2020,AMTD Strategic Capital Limited,尚乘策略資本有限公司,25-Oct-20,
2601,1845/2019,As at 29 February 2020,Consultant Group International Limited,群賢國際有限公司,12-Oct-20,
1655,1844/2019,As at 29 February 2020,Ferguson Finance Company Limited,富臣財務有限公司,15-Dec-20,
1540,1843/2019,As at 29 February 2020,Honest Billion Investment Limited,誠億投資有限公司,09-Oct-20,
781,1842/2019,As at 29 February 2020,Taifair Securities Finance Limited,大輝證券融資有限公司,12-Nov-20,
5212,1841/2019,As at 29 February 2020,Mega Chance Finance Limited ,萬機金融有限公司,11-Oct-20,
4914,1840/2019,As at 29 February 2020,Tak Chuan Credit Service Limited,德川財務有限公司,09-Nov-20,
4895,1839/2019,As at 29 February 2020,Prime Decent Finance Limited,首選財務有限公司,19-Oct-20,
4883,1838/2019,As at 29 February 2020,Raffles Finance Limited,萬方信貸有限公司,10-Oct-20,
4876,1837/2019,As at 29 February 2020,I.V. Consultant Limited,,10-Oct-20,
4526,1836/2019,As at 29 February 2020,Top Trend Finance Company Limited,天揚物業信貸有限公司,13-Oct-20,
4314,1835/2019,As at 29 February 2020,Shenyu Timber Company Limited,神宇木業有限公司,15-Dec-20,
4222,1834/2019,As at 29 February 2020,Knightsbridge Finance Company Limited,善橋財務有限公司,24-Sep-20,
3958,1833/2019,As at 29 February 2020,Golden Tonn Finance Limited,金敦信貸有限公司,30-Dec-20,
3933,1832/2019,As at 29 February 2020,Opus Credit Limited,創富信貸財務有限公司,09-Dec-20,
3906,1831/2019,As at 29 February 2020,Simple Fast Finance Limited,快簡易財務有限公司,11-Nov-20,
3444,1830/2019,As at 29 February 2020,EBL Finance (HK) Limited,,06-Nov-20,
3273,1829/2019,As at 29 February 2020,Global Property Finance Limited,環球物業按揭有限公司,06-Dec-20,
3264,1828/2019,As at 29 February 2020,Johnny Development Limited,尊迪奧發展有限公司,25-Oct-20,
3243,1827/2019,As at 29 February 2020,Legal Finance Limited,利高財務有限公司,11-Oct-20,
3113,1826/2019,As at 29 February 2020,Tai Fung (Hong Kong) Finance Company Limited,大豐(香港)財務有限公司,10-Dec-20,
3101,1825/2019,As at 29 February 2020,Easy Reach (Far East) Limited,快成(遠東)有限公司,20-Oct-20,
3093,1824/2019,As at 29 February 2020,Simagi Finance Company Limited,,08-Oct-20,
2864,1823/2019,As at 29 February 2020,American Wilson Finance Limited,美國匯信財務有限公司,29-Sep-20,
2662,1822/2019,As at 29 February 2020,National Resources Properties Mortgage Limited,中潤物業按揭有限公司,15-Nov-20,
2580,1821/2019,As at 29 February 2020,Emperor Securities Limited,英皇證券(香港)有限公司,19-Nov-20,
2159,1820/2019,As at 29 February 2020,NH Investment & Securities (H.K.) Limited,農協投資證券(香港)有限公司,20-Nov-20,
1648,1819/2019,As at 29 February 2020,SPS Credit Limited,新寶城授信有限公司,22-Nov-20,
